Data da Homologação,Número de Homologação,Nome do Solicitante,CNPJ do Solicitante,Certificado de Conformidade Técnica,Data do Certificado de Conformidade Técnica,Data de Validade do Certificado,Código de Situação do Certificado,Situação do Certificado,Código de Situação do Requerimento,Situação do Requerimento,Nome do Fabricante,Modelo,Nome Comercial,Categoria do Produto,Tipo do Produto,IC_ANTENA,IC_ATIVO,País do Fabricante,CodUIT,CodISO
16/11/2020,87902000330,MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA,1472720000112,124670,31/07/2020,31/07/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Motorola Mobility LLC,XT2087-1,Motorola Moto G9 Plus,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
07/05/2020,56862008682,AIDC TECNOLOGIA LTDA,7500596000138,123945,05/05/2020,05/05/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,"Shenzhen Conquest communication Equipment Co., LTD",S12 Pro,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
13/05/2020,30901903257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,6811,05/07/2019,05/07/2020 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,STK-LX3,STK-LX3,1,Telefone Móvel Celular,N,S,China,CHN,CHN
13/05/2020,30901903257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,6811,05/07/2019,05/07/2020 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,STK-LX3,STK-LX3-,1,Telefone Móvel Celular,N,S,China,CHN,CHN
13/05/2020,30901903257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,6811,05/07/2019,05/07/2020 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,STK-LX3,Honor 9X,1,Telefone Móvel Celular,N,S,China,CHN,CHN
01/06/2021,45582012808,Genesis do Brasil Soluções em Comunicações LTDA,36023832000170,119063,13/05/2020,13/05/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,Sinotech R&D Group Limited,E980,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
06/04/2022,68322006807,Hytera Comunicacoes do Brasil Ltda,17521666000198,NCC 18407/20,22/05/2020,22/05/2026 00:00:00,2,Preenchimento Concluído,6,Homologação Emitida,Hytera Communications Corporation Ltd.,PNC380,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
29/10/2020,137022003257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,NCC 18977/20,20/10/2020,20/10/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,FRL-L23,,1,Telefone Móvel Celular,N,S,China,CHN,CHN
20/08/2021,80392008787,BRH REPRESENTAÇÃO COMERCIAL LTDA.,7479382000127,122109,05/06/2020,05/06/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Bullitt Mobile Limited,S52,,1,Telefone Móvel Celular,N,S,Reino Unido,G,GBR
22/07/2020,82612003257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,NCC 18610/20,16/07/2020,16/07/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,MAR-LX3Am,P30 Lite,1,Telefone Móvel Celular,N,S,China,CHN,CHN
09/02/2021,83282003109,ACBZ Importação e Comércio Ltda.,9509531000189,NCC 18839/20,18/09/2020,18/09/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Asustek Computer Inc.,ZS661KS,ROG Phone 3,1,Telefone Móvel Celular,N,S,Taiwan,TWN,TWN
05/04/2022,85702000953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,NCC 18546/20,29/06/2020,29/06/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Samsung Electronics Co Ltd.,SM-N981B/DS,Galaxy Note 20 5G,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
06/07/2020,90272000953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,7826,01/07/2020,01/07/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Samsung Electronics Co Ltd.,SM-A013M/DS,,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
09/05/2022,22972000330,MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA,1472720000112,122771,13/04/2020,13/04/2024 00:00:00,6,Suspenso,10,Homologação Suspensa,Motorola Mobility LLC,XT2063-3,Motorola Edge,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
30/03/2020,26892003257,HUAWEI DO BRASIL TELECOMUNICACOES LTDA,2975504000152,NCC 18167/20,19/03/2020,19/03/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Huawei Technologies Co. Ltd,ART-L28,Huawei Y7p,1,Telefone Móvel Celular,N,S,China,CHN,CHN
18/01/2021,99262001003,LG ELECTRONICS DO BRASIL LTDA,1166372000155,125253,03/07/2020,03/07/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,LG ELECTRONICS DO BRASIL LTDA,LM-K525BMW,LG K62+,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
29/10/2020,100132012642,GRUPO MULTI S.A,59717553000102,NCC 18999/20,23/10/2020,23/10/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,HMD Global Oy,TA-1319,Nokia 110,1,Telefone Móvel Celular,N,S,Finlândia,FIN,FIN
09/07/2020,30242004672,Tec Toy S.A.,22770366000182,Versys 2575,06/07/2020,06/07/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Tec Toy S.A.,TECTOY ON 64GB,,1,Telefone Móvel Celular,N,S,Brasil,BRA,BRA
03/05/2021,32272009185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,122214,17/03/2020,17/03/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",M2003J6A1G,Redmi Note 9S,1,Telefone Móvel Celular,N,S,China,CHN,CHN
13/07/2020,33912012642,GRUPO MULTI S.A,59717553000102,NCC 18565/20,06/07/2020,06/07/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,HMD Global Oy,TA-1263,Nokia C2,1,Telefone Móvel Celular,N,S,Finlândia,FIN,FIN
05/08/2021,101232009185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,123591,15/07/2020,15/07/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",M2006C3MG,Redmi 9C,1,Telefone Móvel Celular,N,S,China,CHN,CHN
28/12/2021,101912008787,BRH REPRESENTAÇÃO COMERCIAL LTDA.,7479382000127,123797,07/07/2020,07/07/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,Bullitt Mobile Limited,S42,S42H+,1,Telefone Móvel Celular,N,S,Reino Unido,G,GBR
18/11/2021,127062009185,DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA,6940544000110,126403,24/08/2020,24/08/2023 00:00:00,6,Suspenso,10,Homologação Suspensa,"Xiaomi Communications Co., Ltd.",M2007J20CG,Poco X3,1,Telefone Móvel Celular,N,S,China,CHN,CHN
06/02/2024,133992002439,ZEBRA TECHNOLOGIES DO BRASIL - COMERCIO DE PRODUTOS DE INFORMATICA LTDA.,9021935000129,MT-5031/2020,15/09/2020,15/09/2025 00:00:00,2,Preenchimento Concluído,6,Homologação Emitida,Zebra Technologies Corporation,TC26BK,TC26,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
19/11/2020,91121900953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,121328,26/12/2019,26/12/2021 00:00:00,6,Suspenso,10,Homologação Suspensa,Samsung Electronics Co Ltd.,SM-N770X,,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
11/02/2022,3792000330,MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA,1472720000112,121427,02/04/2020,02/04/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,Motorola Mobility LLC,XT2061-3,Motorola Edge Plus,1,Telefone Móvel Celular,N,S,Estados Unidos da América,USA,USA
02/02/2021,16382000953,SAMSUNG ELETRONICA DA AMAZONIA LTDA,280273000218,122621,06/03/2020,06/03/2022 00:00:00,6,Suspenso,10,Homologação Suspensa,Samsung Electronics Co Ltd.,SM-A315G/DSL,Galaxy A31,1,Telefone Móvel Celular,N,S,Coréia,KOR,KOR
